country_code,country_name_tourism,year,value,indicator,country_name_wdi,EN.POP.DNST,IS.AIR.PSGR,IT.NET.USER.ZS,NY.GDP.MKTP.CD,NY.GDP.MKTP.KD.ZG,NY.GDP.PCAP.CD,SH.MED.BEDS.ZS,SH.XPD.CHEX.PC.CD,SP.DYN.LE00.IN,SP.POP.TOTL
ZH,Africa Eastern and Southern,2024,,ST.INT.ARVL,Africa Eastern and Southern,,,35.0,1205973813871.44,2.76680373044995,1567.63583892828,,,,769294618.0
ZH,Africa Eastern and Southern,2023,,ST.INT.ARVL,Africa Eastern and Southern,,,32.4,1133818271029.39,1.89130738721937,1510.74295082335,,,65.146290855385,750503764.0
ZH,Africa Eastern and Southern,2022,,ST.INT.ARVL,Africa Eastern and Southern,49.2972007384894,,30.2,1191638638185.25,3.55576878716199,1628.31894446307,,92.5815209732848,64.4870195456608,731821393.0
ZH,Africa Eastern and Southern,2021,,ST.INT.ARVL,Africa Eastern and Southern,48.0354728061518,24057585.264,28.2,1085604883589.65,4.56356807595664,1522.3933455926,,92.3865748809452,62.9799991857494,713090928.0
ZH,Africa Eastern and Southern,2020,,ST.INT.ARVL,Africa Eastern and Southern,46.7795135824364,19166036.418,25.0,933407232177.078,-2.85978392104712,1344.10320999294,,81.5518950187536,63.7664840026943,694446100.0
ZH,Africa Eastern and Southern,2019,39826701.4025488,ST.INT.ARVL,Africa Eastern and Southern,45.5334654681731,54851421.2852037,22.4,1009746517725.42,2.20034043292388,1493.81793829992,,87.2982461391314,63.8572612837042,675950189.0
ZH,Africa Eastern and Southern,2018,41189145.2687099,ST.INT.ARVL,Africa Eastern and Southern,44.3109394118317,52613964.0777057,19.6,1012291194268.21,2.66503807456537,1538.90167917284,,90.0756532490733,63.3306913582336,657801085.0
ZI,Africa Western and Central,2024,,ST.INT.ARVL,Africa Western and Central,,,40.2,670025655309.603,4.17610288931516,1284.15444092323,,,,521764076.0
ZI,Africa Western and Central,2023,,ST.INT.ARVL,Africa Western and Central,,,38.1,814728528754.188,3.35798699488655,1599.39298291654,,,58.8557215483276,509398589.0
ZI,Africa Western and Central,2022,,ST.INT.ARVL,Africa Western and Central,54.9855916127898,,36.9,893639944629.861,3.97496354483744,1796.66863273368,,74.4213512159563,57.9878133945189,497387180.0
ZI,Africa Western and Central,2021,,ST.INT.ARVL,Africa Western and Central,53.7180180179184,7425487.428,34.9,858114511231.434,4.03000030607359,1765.9547879785,,72.2410946748859,57.3625716910274,485920997.0
ZI,Africa Western and Central,2020,,ST.INT.ARVL,Africa Western and Central,52.4631237583976,5328945.184,31.7,797295175501.973,-0.984117425153343,1680.03933212698,,64.4074227528619,57.3644254011107,474569351.0
ZI,Africa Western and Central,2019,,ST.INT.ARVL,Africa Western and Central,51.2245254219844,11384912.6350313,28.7,833288902800.025,3.28216299793968,1798.34068458315,,59.0695277145137,57.1498467555118,463365429.0
ZI,Africa Western and Central,2018,,ST.INT.ARVL,Africa Western and Central,49.9897095662287,12337766.2823005,25.7,777840407639.927,2.90465437511295,1720.14027955102,,56.1242645554959,57.036976441386,452195915.0
1A,Arab World,2024,,ST.INT.ARVL,Arab World,,,,3704768275595.84,1.54891912399356,7521.15330929761,,,,492579811.0
1A,Arab World,2023,,ST.INT.ARVL,Arab World,,,,3606002342262.32,1.5043551993806,7479.68809103279,,,72.4446783578531,482105978.0
1A,Arab World,2022,,ST.INT.ARVL,Arab World,35.9918336255039,,,3738584480489.16,6.99541381837754,7931.61789279006,,329.953683266806,71.8760955992222,471352066.0
1A,Arab World,2021,,ST.INT.ARVL,Arab World,35.1623623846891,100893015.318,,3077906530882.01,4.40457595978887,6681.70895180141,,334.396705984831,70.4041144889903,460646603.0
1A,Arab World,2020,,ST.INT.ARVL,Arab World,34.6339103040644,78203120.459,,2596422612311.05,-4.75714499576827,5722.48099531674,1.3038215075513,325.636172435532,70.7265588103862,453723239.0
1A,Arab World,2019,142447574.174804,ST.INT.ARVL,Arab World,33.9131958947659,246284712.901893,,2949355029586.25,1.72691613697276,6638.48541455372,1.27168253224361,323.326647510009,71.8398932674972,444281315.0
1A,Arab World,2018,131892640.892491,ST.INT.ARVL,Arab World,33.2809532562352,232670166.889823,,2907329557076.05,2.64284520902167,6668.2167280195,1.33025349339171,320.738335147228,71.4312997859137,435998060.0
S3,Caribbean small states,2024,,ST.INT.ARVL,Caribbean small states,,,,91570798875.9048,13.3443258679345,20173.9564746676,,,,4539060.0
S3,Caribbean small states,2023,,ST.INT.ARVL,Caribbean small states,,,,79470143934.8758,9.00795196227071,17582.2636796878,,,73.1716450013098,4519904.0
S3,Caribbean small states,2022,,ST.INT.ARVL,Caribbean small states,11.2848141186504,,,78054577760.2976,15.0181571627766,17355.8366579795,,944.511679918338,72.8322921090608,4497310.0
S3,Caribbean small states,2021,,ST.INT.ARVL,Caribbean small states,11.2392890419813,2455984.955,,61961705340.7798,6.4790691099326,13833.3099303464,,862.759954027604,69.9228107471769,4479167.0
S3,Caribbean small states,2020,,ST.INT.ARVL,Caribbean small states,11.1894430601684,3161894.9,,53180553803.0434,-9.11325310356304,11925.7573950011,2.60602061055896,801.096390908621,71.9394359303317,4459302.0
S3,Caribbean small states,2019,19819087.2645395,ST.INT.ARVL,Caribbean small states,11.1488737254616,6509960.55108055,,61929300627.7488,0.919134167721197,13938.2023201976,2.58694959206753,826.631063418118,72.1292604830284,4443134.0
S3,Caribbean small states,2018,19669834.9167994,ST.INT.ARVL,Caribbean small states,11.059856053637,6464701.2419884,,60893234438.5669,1.23105640692125,13815.3265154798,2.54662551622898,797.021394312782,72.2210854022703,4407658.0
B8,Central Europe and the Baltics,2024,,ST.INT.ARVL,Central Europe and the Baltics,,,,2455559190577.36,1.96330552382373,24543.3040551653,,,,100050066.0
B8,Central Europe and the Baltics,2023,,ST.INT.ARVL,Central Europe and the Baltics,,,,2273945434904.28,0.763278131880284,22699.5351734821,,,77.8967836493153,100175859.0
B8,Central Europe and the Baltics,2022,,ST.INT.ARVL,Central Europe and the Baltics,90.5708010536644,,,1956274288914.43,4.03666414212897,19548.6930479638,,1361.14887526443,76.6522987292583,100071871.0
B8,Central Europe and the Baltics,2021,,ST.INT.ARVL,Central Europe and the Baltics,90.6877587931935,30389422.0,,1927940096544.03,6.54607681687429,19239.8185020397,,1406.44098422552,74.7232827859077,100205732.0
B8,Central Europe and the Baltics,2020,,ST.INT.ARVL,Central Europe and the Baltics,91.5975668995432,22490703.181,,1679770251031.92,-3.31536810484134,16595.9352698049,6.38955324784737,1182.57491439171,76.0162701269145,101215763.0
